origin,destination,avg_enroute_min
SSUV,SBCT,60
SULS,SBGR,140
SUMU,SBCF,185
SUMU,SBKP,150
SUMU,SBRF,290
SWBC,SBEG,105
SWBR,SBEG,55
SWLB,SBPV,60
SWMW,SWBR,75
SWPI,SBEG,70
