origin,destination,avg_enroute_min
MMZC,KSJC,198
KSJC,MMZC,1620
KDFW,MMMM,117
MMGL,KCLT,217
KCLT,MMGL,216
MMSP,KDFW,105
MMMX,MGGT,86.1
MGGT,MMMX,95.6
MMTO,MMMX,31
MMGL,MMQT,40
MMQT,MMGL,36
MMGL,MMTJ,157
MMGL,MMTJ,168
MMGL,KPHX,139
KBFM,MMMX,140
MMGL,MSLP,141
MSLP,MMGL,138
MMGL,MROC,192
MMGL,MSLP,141
MSLP,MMGL,140
MMGL,MMGL,124
MMGL,MMMX,51
MMMX,MMMX,101
MMUN,MSLP,78.5
MSLP,MMGL,138
MMTJ,MMCS,87
MMCS,MMTJ,98
MMLO,MMGL,37
MMTJ,MMLO,156
MMMX,MMMX,93
MMMY,MMZC,42
MMZC,MMMY,47
MMMX,MMMX,75.5
MMTJ,MMTJ,142
KMCO,MMUN,1551
MMTJ,MMGL,164.3
MMMX,MMGL,50
MMHO,MMTJ,62
MMGL,MMTJ,145
MMTJ,MMHO,63
MMGL,MMMM,31.5
MMMM,MMSP,29
MMSP,MMTJ,155
MMOX,MMGL,80
MMGL,MMMY,69
MMCS,MMGL,118
MMCS,MMTJ,95
MMLO,MMGL,41
MMGL,MMLO,26
MMMX,MMLO,41
MMLO,MMGL,38
MMGL,MMLO,27
MMLO,MMGL,38
MMTJ,MMGL,170
MMGL,MMZC,29
MMZC,MMGL,40
MMTJ,KORD,213
KORD,MMTJ,238.3
MMQT,MMTJ,174
MMTJ,MMQT,164
MMTJ,MMGL,162
MMGL,MMIA,738
MROC,MMMX,150
MMIA,MMGL,38
MMGL,MMQT,36.5
MMQT,MMGL,41
MMTJ,KSMF,74
KSMF,MMTJ,70
MMGL,MMMY,71
MMGL,MMMX,50
MMMY,MMGL,70
MMTJ,MMGL,158
MMGL,MMMM,34
MMMM,MMGL,47
MSLP,MMMX,103.6
MMMX,MSLP,102.6
MSLP,KLAX,287.1
KLAX,MSLP,274.2
MSLP,KIAD,234.7
KIAD,MSLP,241.6
MGGT,MMUN,82.3
MSLP,MGGT,26.9
MGGT,MSLP,28.4
MMUN,MGGT,68.5
MSLP,KIAH,165.3
KIAH,MSLP,150.9
MSLP,KOAK,325.1
KOAK,MSLP,312.5
MSLP,KIAD,236.6
KIAD,MSLP,242.2
MSLP,KEWR,250.4
KEWR,MSLP,272.2
KMIA,MHLM,115.5
MSLP,KMIA,132.2
KMIA,MSLP,141.2
MHLM,KMIA,110.9
MSLP,MROC,57.2
MROC,MSLP,58.6
MROC,KMIA,144.5
MSLP,MROC,57.2
KMIA,MROC,143.3
MROC,MSLP,58.4
