origin,destination,avg_enroute_min
SPIM,SPTN,111
SPIM,SPTN,111
SPIM,SPST,85
SPIM,SPST,85
SPIM,SPRU,71
SPIM,SPRU,72
SPIM,SANT,205
SPIM,SANT,201
SPIM,SPYL,109
SPIM,SPYL,108
SPIM,SEQM,135
SPIM,SEQM,136
SPIM,SLVR,155
SPIM,SLVR,155
SLLP,SPIM,110
SLLP,SPIM,111
LEMD,SPIM,715
LEMD,SPIM,714
MKJS,SPIM,294
MKJS,SPIM,290
KMCO,SPIM,364
SKRG,SPIM,191
SKRG,SPIM,191
SAME,SPIM,227
SAME,SPIM,226
MMMX,SPIM,350
KMIA,SPIM,347
SUMU,SPIM,290
SUMU,SPIM,293
SPCL,SPIM,78
SPCL,SPIM,74
SPTU,SPZO,45
SPTU,SPZO,45
SPTU,SPIM,94
SPTU,SPIM,95
SPUR,SPIM,90
SPUR,SPIM,91
SBPA,SPIM,280
SBPA,SPIM,284
MDPC,SPIM,295
MDPC,SPIM,295
SAAR,SPIM,250
SAAR,SPIM,252
SCEL,SPZO,210
SCEL,SPIM,230
SCEL,SPIM,231
SCEL,SPIM,221
SCEL,SPIM,221
MROC,SPIM,220
MROC,SPIM,221
SASA,SPIM,195
SASA,SPIM,195
SPME,SPIM,103
SPME,SPIM,104
SPTN,SPIM,110
SPTN,SPIM,110
SPST,SPIM,80
SPST,SPIM,80
